"Wind_direction","Humidity","Pressure ","Temperature"
"304.4","28.2","879.3","-15.1"
"298.9","28.5","879","-15.2"
"293.8","29.2","878.9","-15.3"
"303.8","29.7","878.8","-15.4"
"297.1","30.3","878.6","-15.5"
"292.7","30.6","878.5","-15.6"
"303.5","30.7","878.3","-15.6"
"296.5","30.6","878.2","-15.6"
"299.5","31.3","878","-15.7"
"300.2","31.7","877.9","-15.8"
"298.1","32.2","877.8","-15.8"
"299.7","32","877.7","-15.8"
"294.8","32.6","877.6","-15.9"
"292.2","33.1","877.2","-16"
"293.5","34.8","877.6","-16"
"294.9","35.2","879","-15.9"
"297.6","35.3","881.9","-15.9"
"297.2","36.7","886.6","-15.9"
"295.4","35.9","892","-15.8"
"289.2","36.7","897.3","-15.6"
"288.9","37.3","901.5","-15.5"
"293.6","37.5","912","-15.4"
"295.8","37","944.9","-15.1"
"293.3","35.5","945.5","-14.9"
"297.8","35.2","944.9","-14.7"
"295.6","34","944.2","-14.4"
"294.9","35.4","943","-14.1"
"295.2","35.7","942.1","-13.8"
"294.4","34.1","943.3","-13.5"
"295.9","33.8","943.8","-13.3"
"297.5","33.6","942.8","-13"
"296.5","33.8","943.7","-12.7"
"293.6","30.7","939.9","-12.5"
"303.6","29.5","941.9","-11.9"
"291.7","31.3","942.6","-12.2"
"291.2","31.5","939.2","-11.8"
"288.4","31.2","941.8","-11.6"
"295.4","31.1","940.5","-11.7"
"287.4","30.7","940.9","-11.2"
"293","30.2","938.8","-11.1"
"294.1","29.4","942.7","-10.5"
"298.1","29.6","939.9","-10.5"
"295.4","29.8","939.2","-10.5"
"298.8","28.6","941.6","-10.1"
"299.8","28.1","941.8","-9.9"
"297.5","28.5","941.3","-9.9"
"295.6","28.3","941.4","-9.4"
"297.9","28.3","940.6","-9.7"
"296.2","28.4","942","-9.4"
"295.9","28.1","940.2","-9.5"
"290.1","28.5","940.8","-9.4"
"296.7","29.3","940.3","-9.5"
"291.7","30","922.1","-9.7"
"291.8","30.3","897.1","-9.9"
"293.9","30.8","890.5","-10.2"
"289.9","31.2","888.8","-10.3"
"294.1","31.1","888.3","-10.3"
"294","30.6","887.9","-10.2"
"295.4","30.7","887.5","-10.3"
"293.1","30.5","887.1","-10.3"
"290.6","30.8","886.8","-10.3"
"295.4","32.3","886.6","-10.6"
"294.8","32.4","886.3","-10.6"
"296.9","32.6","886.1","-10.6"
"302.1","32","885.9","-10.4"
"298.4","32.1","885.7","-10.4"
"293","32.3","885.5","-10.4"
"293","33.4","885.3","-10.6"
"294.8","33.1","885.2","-10.4"
"295.7","33.2","885","-10.4"
"296.1","33.9","884.8","-10.5"
"296","34.7","884.6","-10.7"
"298.6","34.8","884.5","-10.7"
"294","34.9","884.3","-10.7"
"293.2","35.2","884.2","-10.7"
"289.7","35","884.1","-10.6"
"291.7","35","883.9","-10.6"
"292.9","34.8","883.7","-10.6"
"295.4","34.6","883.5","-10.5"
"291.7","34.6","883.5","-10.5"
"294.9","34.4","883.3","-10.4"
"293.2","34.9","883.2","-10.5"
"291.3","34.9","883","-10.5"
"291.5","35","882.9","-10.6"
"290.6","35.1","882.6","-10.7"
"294.4","35.2","882.6","-10.7"
"296","35.5","882.3","-10.7"
"293.1","35.5","882.3","-10.7"
"294.2","35.6","882.1","-10.7"
"295.2","36.1","882","-10.8"
"290.5","35.6","881.9","-10.6"
"299.4","36.2","881.7","-10.7"
"295.4","36.6","881.6","-10.7"
"292.3","37.1","881.5","-10.8"
"290.9","38.6","881.3","-11.2"
"290.6","38.7","881.2","-11.1"
"292.5","38.6","881","-11.1"
"290.7","37.8","880.9","-10.9"
"291.6","37.4","880.7","-10.9"
"287.6","37","880.6","-10.8"
"291.1","37","880.5","-10.8"
"290.9","37.8","880.3","-10.9"
"289.3","37.4","880.1","-10.9"
"289.9","37.9","880","-11"
"292.6","38.1","879.8","-11"
"287.5","37.2","879.8","-10.8"
"289.4","37.1","879.5","-10.8"
"289.9","37.5","879.5","-11"
"295.5","38.4","879.3","-11.1"
"290.9","38.6","879.1","-11.1"
"294.5","37.9","879.4","-10.8"
"294.5","39.2","880.8","-11"
"290","40.5","883.3","-11.2"
"293.6","41.3","887","-11.3"
"292","39.2","891.4","-10.7"
"292.7","39.8","895.6","-10.8"
"288.3","38.5","898.6","-10.5"
"298.4","36.1","904","-9.9"
"298.1","35.5","913.9","-9.7"
"291.7","34.7","941.7","-9.4"
"293.1","33.9","941.5","-9"
"287.1","32.8","940.4","-8.6"
"292.6","32.5","939.7","-8.7"
"282.9","31.6","939.8","-8.3"
"284.6","31.5","938.5","-8.1"
"288.1","31.4","938","-7.8"
"296.1","31.1","938.1","-7.4"
"290","30.3","938.4","-6.7"
"284.3","29.6","938.4","-6.9"
"287.6","28.6","939.1","-6.4"
"292.1","28.3","936.1","-6.2"
"288.4","27.8","936.6","-6.1"
"289.2","26.8","935.9","-5.7"
"289","25.9","935.6","-5.1"
"285.1","26.7","934.6","-5.4"
"282","27.4","936.8","-5.5"
"288.6","27.2","936.8","-5"
"289.9","26.1","935.8","-4.5"
"295.2","25.6","936.3","-4.7"
"295","26","936.5","-4.8"
"296.1","26.2","935.5","-4.3"
"284.2","26.4","936.6","-4.7"
"296.6","26.4","936.4","-4.3"
"296.7","26.7","935.7","-4.1"
"287.9","27.2","937.3","-4.5"
"285.1","27.1","935.6","-4.1"
"292.2","26.3","937.3","-4.3"
"295","26.8","937.1","-4.8"
"294.8","27.1","915.5","-4.9"
"298.7","27.6","896.9","-5.2"
"291.5","28.1","891.7","-5.5"
"299.9","28.7","890.1","-5.9"
"300.3","29.2","889.6","-6"
"297.9","29.5","889.1","-6"
"301","29.2","888.7","-6.1"
"297.7","28.7","888.4","-6.1"
"303.4","28.7","888.1","-6.3"
"303.1","28.4","887.8","-6.3"
"299","29","887.6","-6.7"
"302.1","28.3","887.3","-6.6"
"299.8","28.5","887.1","-6.6"
"299.7","28.6","886.9","-6.7"
"299.9","28.2","886.8","-6.6"
"300.5","28.3","886.5","-6.8"
"299.1","28.5","886.3","-6.9"
"300.2","28.5","886.2","-6.9"
"297","29.1","886","-7.1"
"298.2","30.5","885.7","-7.4"
"298.6","30.5","885.6","-7.2"
"295.5","31.2","885.4","-7.1"
"298","32.4","885.3","-7.2"
"294.2","32.5","885.1","-6.9"
"294.3","33.8","885","-6.8"
"301","32.5","884.9","-6.6"
"296.9","32.8","884.7","-6.7"
"300.8","32.8","884.6","-7"
"301.8","33.8","884.5","-7.3"
"299","33.8","884.3","-7"
"296.9","34.9","884.2","-7.3"
"292.9","34.9","884","-7.1"
"297.4","35.1","883.9","-7"
"294","36.3","883.8","-7.4"
"294.9","35.9","883.7","-7.1"
"294.7","36.2","883.5","-7.1"
"294.8","37.2","883.5","-7.3"
"293.8","37.7","883.2","-7.3"
"298.2","37.5","883.1","-7.4"
"296.1","38.3","882.9","-7.6"
"296.2","38.7","882.8","-7.7"
"296.9","38.8","882.7","-7.8"
"296.5","38","882.5","-7.5"
"298.7","38.1","882.4","-7.6"
"296.7","37.9","882.3","-7.5"
"293.5","38.7","882.1","-7.8"
"293.1","38.2","882","-7.5"
"295.2","38.7","881.9","-7.7"
"289.3","39.5","881.7","-8"
"285.9","40.6","881.6","-8.2"
"292.6","41","881.4","-8.1"
"295.7","40.6","881.3","-8"
"293.4","39.8","881.2","-7.7"
"298.4","40.5","881","-8"
"293.8","41.8","880.9","-8.2"
"288","43.6","880.8","-8.8"
"293.8","42.9","880.6","-8.3"
"287.8","43.2","880.3","-8.4"
"290.7","44.3","880.4","-8.8"
"292.2","43.8","881.3","-8.4"
"293.8","43.4","883.2","-8.3"
"295.6","42","886.2","-8"
"290","43.1","890.3","-8.2"
"290.5","41.2","894.3","-7.3"
"294.4","38.9","897.5","-6.6"
"286.7","36.8","900.9","-6"
"283.4","36.4","905.7","-5.5"
"288.4","33.8","913","-5.2"
"297.5","32.9","936.5","-4.8"
"292.5","32.2","937.9","-4.5"
"293","31.4","936.3","-4.1"
"294","30.6","937","-3.9"
"296.6","27.6","936.4","-3.2"
"286.9","27.2","935.7","-3.1"
"280.1","26.6","933.8","-2.9"
"286.9","26.9","935.3","-2.8"
"277.3","26.3","934.5","-2.7"
"295.3","25.3","934.8","-2.2"
"298.3","25.9","933.4","-2.2"
"281.8","25.4","934.3","-1.4"
"290.1","24.2","932.2","-1.3"
"276.5","24.1","934.1","-1"
"291.9","23.9","932.6","-1.2"
"294.8","23.1","935","-0.8"
"277.3","22.7","929.3","-0.6"
"296.3","22.4","921.7","0.1"
"294.1","22.3","919","-0.1"
"282.5","22.1","919.2","0.4"
"282.5","22.4","918.8","0.4"
"270.3","22.2","918.7","1.1"
"270.1","22.2","918.2","1.1"
"283","22.3","918.7","0.7"
"273.8","22.1","919.7","0.8"
"280.6","22.1","919.4","0.4"
"280.6","22.1","919.7","0.5"
"291.1","22.1","934.4","0.4"
"297.5","22.3","902.2","0.1"
"289.6","23.1","894.3","-0.4"
"285.1","23.5","892.4","-0.6"
"284","24.3","891","-1"
"280.5","24.4","890.5","-0.9"
"281.3","24.5","890.1","-0.8"
"296.4","25","889.7","-1"
"302.1","24.6","889.3","-0.8"
"337.2","21","889","-0.4"
"341.2","17.5","888.8","-0.1"
"345.5","17.2","888.6","-0.1"
"345.8","16.7","888.5","0.2"
"3.3","15.8","888.2","0.3"
"359.9","15.9","888.1","0.1"
"67.9","16.8","887.9","0.1"
"63.9","17.2","887.7","-0.1"
"84.7","18","887.7","-0.3"
"83.9","24.7","887.4","-2.6"
"89.1","24.4","887.3","-2"
"84.7","25.3","887","-2.2"
"81.1","25.3","886.9","-2.3"
"86","25.9","886.7","-2.3"
"76.2","26.7","886.6","-2.6"
"75.8","27","886.3","-2.6"
"77.7","27.2","886.2","-2.6"
"77","27","886","-2.6"
"76.6","27.4","885.9","-2.7"
"73.3","27.5","885.8","-3"
"78.7","29.5","885.6","-2.9"
"70.4","30.1","885.5","-2.9"
"74.8","30.8","885.3","-2.8"
"72.9","29.5","885.2","-3"
"67.2","29.3","885","-3.1"
"70.4","29.5","884.9","-3"
"75.9","29.3","884.8","-3"
"81.9","29.5","884.6","-3.1"
"85.3","30.3","884.5","-3.3"
"93.1","30.7","884.4","-3.5"
"93.7","30.8","884.3","-3.6"
"92.3","31.3","884.1","-3.8"
"96.9","31.4","883.9","-3.8"
"98.2","31.5","883.8","-3.9"
"99.8","31.6","883.6","-4"
"101","33","883.4","-4.6"
"103.2","33.4","883.3","-4.7"
"100.6","32.7","883.2","-4.9"
"99.1","32.5","883","-5"
"104.4","32.5","882.8","-5"
"98.7","32.3","882.7","-5.1"
"100.2","31.6","882.6","-4.9"
"97.5","31.8","882.4","-5"
"89.3","32.8","882.3","-5.3"
"82.9","32.7","882.1","-5.2"
"84.9","33","882","-5.3"
"91.2","33.2","881.8","-5.3"
"99","32.8","881.8","-5.5"
"107.3","33.5","881.6","-5.7"
"113.4","33.4","881.4","-5.6"
"107.6","33.9","881.4","-5.7"
"108.1","33.8","881.6","-5.7"
"103.3","34","882.4","-5.6"
"100.1","33.8","884.1","-5.5"
"98.8","33.3","886.5","-5.2"
"101.1","32.7","889.9","-5"
"100","32.2","893.4","-4.8"
"97.9","31.7","896.6","-4.6"
"99.3","31.4","900.3","-4.3"
"88.3","30.6","903.5","-4.1"
"103.2","30.6","906.6","-3.9"
"96.7","30.4","911.8","-3.1"
"87.3","29.9","916.6","-2.8"
"89.3","32.2","921.4","-2.9"
"99.9","32.6","935.7","-2.3"
"93.3","31.2","921.3","-2"
"91.9","30.1","906","-1.8"
"114.9","30.2","927.7","-1.4"
"113.7","31.1","908","-1.1"
"101.4","31.6","900.6","-1.3"
"111.9","31.5","901.7","-0.9"
"110.7","31.1","898.2","-0.9"
"113.1","31.4","897.4","-0.9"
"108.6","31.3","900.6","-0.4"
"98.5","31.8","903.9","-0.3"
"117.4","32.4","898","-0.4"
"103.9","32.4","898.3","-0.1"
"104.8","32.6","899.5","-0.2"
"115.7","32.5","903.9","-0.1"
"101","33","898.4","0"
"106.9","33.2","919.4","0.2"
"105.3","33.1","916.1","0.3"
"99.8","32.7","910.3","0.2"
"109.6","33.5","901.1","0.1"
"105.9","34.2","892.7","-0.2"
"96.5","35.7","891.3","0"
"100.3","36.9","890.5","-0.2"
"104.5","38","889.9","-0.3"
"104.4","38.5","889.4","-0.4"
"103.6","38.9","888.9","-0.6"
"100.5","39.3","888.7","-0.7"
"100.6","39.4","888.5","-0.9"
"99.3","40.4","888.2","-1"
"96.4","41.4","888","-1.1"
"97.6","42.3","887.8","-1.1"
"80.7","43","887.6","-1.3"
"99.4","43.2","887.4","-1.2"
"100","43.7","887.1","-1.3"
"101.2","43.9","887","-1.2"
"99.5","44","886.7","-1.2"
"94.3","43.8","886.6","-1.2"
"95.8","44.4","886.4","-1.4"
"82.5","44.3","886.2","-1.5"
"80.7","42.8","886","-1.3"
"69.4","42.6","885.8","-1.2"
"73.5","42.2","885.5","-1.1"
"81.9","42.7","885.4","-1.2"
"76","42.7","885.2","-1.2"
"80.9","42.6","884.9","-1.2"
"80.7","42.8","884.8","-1.2"
"88.6","43.1","884.5","-1.2"
"97.2","43.4","884.4","-1.2"
"93.6","43.7","884.1","-1.3"
"83.7","44","883.9","-1.2"
"76.8","44.6","883.7","-1.2"
"70.5","44.7","883.5","-1.1"
"97.1","45.7","883.3","-1"
"91.5","45.4","883.2","-1"
"78","45.4","883","-1.1"
"74.1","45.5","882.9","-1"
"80.8","45.8","882.8","-1"
"83.3","46","882.6","-0.9"
"68.8","46.5","882.5","-1.1"
"68.3","46.8","882.5","-1.1"
"68.4","47.9","882.3","-1.1"
"68.4","48.8","882.2","-1"
"68.5","48.4","882.2","-0.9"
"68.2","49.2","882.2","-1"
"68.2","49.6","882.1","-1.1"
"68.4","49.2","881.9","-0.9"
"72.9","49.2","881.8","-1.2"
"74.5","50.2","881.7","-1.1"
"74.4","51.7","881.7","-2.1"
"74.4","54.9","881.5","-2.9"
"74.4","51.6","881.4","-2"
"73.9","52","881.2","-1.8"
"328.8","50.1","881.2","-1.6"
"327","49.6","881.1","-1.9"
"333","49.4","881.1","-1.7"
"321.8","50.8","881.1","-2.1"
"329.8","52.2","881","-2.6"
"323.2","53.1","881","-2.7"
"315.9","54.4","880.8","-3"
"314.5","53.6","880.8","-2.6"
"304.3","54.5","880.7","-2.8"
"309.2","54.4","880.6","-2.5"
"285","55.8","880.6","-3"
"275.6","55.3","880.6","-3.3"
"261.1","55","881","-3.5"
"279.5","54.9","881.7","-3.7"
"298.8","53.9","883.9","-3.5"
"299.7","49.5","886.4","-2.8"
"297.4","46.7","889.4","-2.5"
"270.5","49.5","892.2","-2.5"
"272.3","48","895.1","-2"
"277.3","45.8","897.5","-1.4"
"281.4","44.4","899.9","-0.9"
"287.9","43.5","902.2","-0.5"
